2023-11-08 09:06:10.770 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-08 09:06:10.785 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-015 with PID 9520 (D:\park\pro05\shop\build\classes\java\main started by db400tea in D:\park\pro05\shop)
2023-11-08 09:06:10.787 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-08 09:06:10.936 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-08 09:06:10.938 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-08 09:06:11.287 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.shop]' package. Please check your configuration.
2023-11-08 09:06:11.511 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-08 09:06:11.515 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-08 09:06:11.516 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-08 09:06:11.516 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-08 09:06:11.559 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-08 09:06:11.559 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 621 ms
2023-11-08 09:06:11.614 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: b01e588f-a275-4dd7-97dc-bb7e482ab63e

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-08 09:06:11.663 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@47d3eba9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7922bf78, org.springframework.security.web.context.SecurityContextPersistenceFilter@684946a4, org.springframework.security.web.header.HeaderWriterFilter@6421299c, org.springframework.security.web.csrf.CsrfFilter@2b4f01fa, org.springframework.security.web.authentication.logout.LogoutFilter@6e55df9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@51d0d776, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76a9e0be, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@764522e2, org.springframework.security.web.session.SessionManagementFilter@5a55d038, org.springframework.security.web.access.ExceptionTranslationFilter@4481717d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@17a2176a]
2023-11-08 09:06:11.755 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
